Effective Date,Expiry Date,Last Trade Date,Option Type,Strike,Bid,Ask
11-11-2024,11-18-2024,11-01-2024,Put,2400,0,0.05
11-11-2024,11-18-2024,11-04-2024,Put,2600,0,0.05
11-11-2024,11-18-2024,11-01-2024,Put,2800,0,0.05
11-11-2024,11-18-2024,11-06-2024,Put,3000,0,0.05
11-11-2024,11-18-2024,11-04-2024,Put,3200,0,0.05
11-11-2024,11-18-2024,11-06-2024,Put,3400,0,0.05
11-11-2024,11-18-2024,11-08-2024,Put,3600,0,0.05
11-11-2024,11-18-2024,11-11-2024,Put,3800,0,0.1
11-11-2024,11-18-2024,11-11-2024,Put,4000,0,0.1
11-11-2024,11-18-2024,11-11-2024,Put,4200,0,0.1
11-11-2024,11-18-2024,11-11-2024,Put,4300,0,0.1
11-11-2024,11-18-2024,11-11-2024,Put,4400,0,0.1
11-11-2024,11-18-2024,11-11-2024,Put,4500,0,0.15
11-11-2024,11-18-2024,11-11-2024,Put,4600,0.05,0.15
11-11-2024,11-18-2024,11-11-2024,Put,4700,0.05,0.15
11-11-2024,11-18-2024,11-11-2024,Put,4800,0.05,0.15
11-11-2024,11-18-2024,11-11-2024,Put,4850,0.05,0.2
11-11-2024,11-18-2024,11-11-2024,Put,4900,0.1,0.2
11-11-2024,11-18-2024,11-11-2024,Put,4950,0.1,0.2
11-11-2024,11-18-2024,11-11-2024,Put,5000,0.1,0.2
11-11-2024,11-18-2024,11-11-2024,Put,5050,0.15,0.25
11-11-2024,11-18-2024,11-11-2024,Put,5075,0.15,0.25
11-11-2024,11-18-2024,11-11-2024,Put,5100,0.15,0.25
11-11-2024,11-18-2024,11-11-2024,Put,5125,0.15,0.25
11-11-2024,11-18-2024,11-11-2024,Put,5150,0.15,0.3
11-11-2024,11-18-2024,11-11-2024,Put,5175,0.2,0.3
11-11-2024,11-18-2024,11-11-2024,Put,5200,0.2,0.3
11-11-2024,11-18-2024,11-11-2024,Put,5225,0.2,0.3
11-11-2024,11-18-2024,11-11-2024,Put,5250,0.2,0.35
11-11-2024,11-18-2024,11-11-2024,Put,5275,0.25,0.35
11-11-2024,11-18-2024,11-11-2024,Put,5300,0.25,0.35
11-11-2024,11-18-2024,11-11-2024,Put,5325,0.3,0.4
11-11-2024,11-18-2024,11-11-2024,Put,5350,0.3,0.4
11-11-2024,11-18-2024,11-11-2024,Put,5370,0.3,0.4
11-11-2024,11-18-2024,11-11-2024,Put,5375,0.3,0.45
11-11-2024,11-18-2024,11-11-2024,Put,5380,0.3,0.45
11-11-2024,11-18-2024,11-11-2024,Put,5390,0.35,0.45
11-11-2024,11-18-2024,11-11-2024,Put,5400,0.35,0.45
11-11-2024,11-18-2024,11-11-2024,Put,5410,0.35,0.45
11-11-2024,11-18-2024,11-11-2024,Put,5420,0.35,0.45
11-11-2024,11-18-2024,11-11-2024,Put,5425,0.35,0.45
11-11-2024,11-18-2024,11-11-2024,Put,5430,0.35,0.5
11-11-2024,11-18-2024,11-11-2024,Put,5440,0.4,0.5
11-11-2024,11-18-2024,11-11-2024,Put,5450,0.4,0.5
11-11-2024,11-18-2024,11-11-2024,Put,5460,0.4,0.5
